facilityId,officeNumber,companyId,companyName,name,slug,area,type,icon,color,desc,tags,address,tel,hours,website,serviceArea,isPublished,contactStatus,updatedAt,createdAt
f000001,4070803376,c000001,,あすなろ青葉ヘルパーステーション,facility-0001,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区青葉一丁目４番１号,092-692-5860,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000002,4070805652,c000002,,学研ココファン香椎駅前ヘルパーセンター,facility-0002,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区香椎駅前一丁目７番７,092-681-7007,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000003,4070803699,c000003,,訪問介護ステーション　ケアエイド,facility-0003,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区香椎駅前二丁目４番１５号,092-672-7253,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000004,4070805553,c000004,,ヘルパーステーション　エール,facility-0004,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区香椎駅前二丁目４番９号,092-692-1007,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000005,4070805926,c000005,,ヘルパーステーションりあん,facility-0005,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区香椎台一丁目14番３号,092-986-0976,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000006,4070805363,c000006,,サンカルナ香椎照葉訪問介護事業所,facility-0006,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区香椎照葉五丁目１番１５号,092-235-5655,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000007,4070806197,c000007,,アップルケア福岡サービスセンター,facility-0007,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区香椎浜三丁目３番３号,092-662-8355,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000008,4070806148,c000008,,ケアサポートアルバ,facility-0008,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区香椎二丁目２番６-202号エスポワール香椎,092-410-3793,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000009,4070804960,c000009,,香住ヶ丘訪問介護ステーション,facility-0009,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区香住ヶ丘一丁目７番10号,092-674-1021,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000010,4070805603,c000010,,訪問介護センター　笑みリンク,facility-0010,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区香住ヶ丘五丁目８番30号,092-611-7388,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000011,4071104931,c000011,,ケアステーションＲｅ’ｓｅｌａ,facility-0011,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区香住ヶ丘二丁目48番５号,092-410-8655,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000012,4070805298,c000012,,げんき介護香椎,facility-0012,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区香住ヶ丘二丁目７番８－201号,092-663-8170,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000013,4070805173,c000013,,ヘルパーステーション　ささえ,facility-0013,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区香住ヶ丘三丁目５番15号,092-986-1469,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000014,4070800307,c000014,,光薫寺ビハーラヘルパーステーション,facility-0014,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区蒲田五丁目７番２号,092-691-8111,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000015,4070806288,c000015,,訪問介護ステーション　太陽の丘,facility-0015,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区蒲田五丁目７番３０号,092-410-7804,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000016,4070805348,c000016,,ヘルパーステーションあいら,facility-0016,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区上和白１４０１－４　住宅型有料老人ホームあいら,092-663-5020,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000017,4070804416,c000017,,ヘルパーステーション友彩,facility-0017,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区下原一丁目20番57号,092-692-1015,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000018,4070804143,c000018,,訪問介護ハッピーすまいる東,facility-0018,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区下原二丁目15番32号,092-674-1881,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000019,4070805447,c000019,,アメリ訪問介護ステーション香椎下原,facility-0019,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区下原三丁目15番３号,092-405-0014,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000020,4070805801,c000020,,ウインライフ　ヘルパーステーション,facility-0020,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区下原四丁目５番８-102号フラット２１,092-410-9285,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000021,4070805967,c000021,,ヘルパーステーションしん,facility-0021,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区下原四丁目５番８－３１２号　フラット２１,092-213-8926,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000022,4070805389,c000022,,ヘルパーステーションやすらぎ,facility-0022,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区多々良一丁目17番８号,092-671-3435,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000023,4070806254,c000023,,ヘルパーステーション　ウェルビー多々良,facility-0023,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区多々良一丁目56番３号,092-410-6886,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000024,4070802915,c000024,,あんずヘルパーステーション,facility-0024,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区多々良二丁目21番30号,092-671-5205,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000025,4070806155,c000025,,訪問介護ステーション　ゆうなぎ,facility-0025,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区多の津五丁目１番24-305号レフティヒルズ多の津,090-7293-8353,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000026,4070802782,c000026,,ヘルパーステーション三日月,facility-0026,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区多の津五丁目43番７号,092-400-2320,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000027,4070801206,c000027,,社会福祉法人グリーンコープ　ふくしサービスセンターみみずく東,facility-0027,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区多の津五丁目５番１号,092-624-7747,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000028,4070805116,c000028,,介護ラボ,facility-0028,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区多の津4丁目19-3-2号,092-710-7785,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000029,4070806346,c000029,,ケアステーション　アシスト５,facility-0029,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区多の津一丁目14番１号　FRCビル617号,092-292-9493,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000030,4070805231,c000030,,ケア２１香椎,facility-0030,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区千早五丁目13番10号１階１号室上村店舗,092-674-0221,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000031,4070803251,c000031,,かがやきヘルパーステーション,facility-0031,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区千早五丁目２番22号,092-672-7821,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000032,4070802774,c000032,,訪問介護テポーレ千早,facility-0032,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区千早二丁目３番28号,092-681-1211,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000033,4070803533,c000033,,ヘルパーステーションげんき,facility-0033,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区千早二丁目３番41-305号,092-688-5867,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000034,4070803186,c000034,,ヘルパーステーション花うさぎ千早,facility-0034,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区千早四丁目13番27号,092-674-1800,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000035,4070802519,c000035,,ケアステーション笑和,facility-0035,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区土井一丁目15番15－404号,092-986-0484,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000036,4070805827,c000036,,訪問介護こころ,facility-0036,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区土井一丁目22番29-301号吉村ビル,092-516-3391,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000037,4070801883,c000037,,ヘルパーステーションハッピーケア,facility-0037,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区土井二丁目22番１－509号,092-691-6946,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000038,4070803657,c000038,,さくら・介護ステーションＬｉｆｅ福岡東,facility-0038,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区土井四丁目１番34号２階,092-410-9287,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000039,4070802402,c000039,,アップルハート福岡東ケアセンター,facility-0039,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区唐原一丁目２番42号　ＬＢビル２階,092-663-5761,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000040,4070805900,c000040,,訪問介護事業所　蓮華,facility-0040,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区唐原五丁目８番17号,092-609-9959,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000041,4070800331,c000041,,ニチイケアセンター香椎,facility-0041,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区唐原五丁目９番56号,092-674-4318,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000042,4070803764,c000042,,ヘルパーステーションよつば,facility-0042,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区唐原三丁目６番16号,092-674-3268,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000043,4070805421,c000043,,ヘルパーステーション三進,facility-0043,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区唐原四丁目６番45号,092-775-3311,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000044,4070804812,c000044,,ヘルパーセンター明和,facility-0044,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区名島２丁目３５番２１号　池田ビル２Ｆ,092-663-8811,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000045,4070802386,c000045,,なでしこヘルパーステーション,facility-0045,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区名島４丁目54番29号,092-692-2729,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000046,4070802980,c000046,,ヘルパーステーションたすけ愛の会ひまわり東,facility-0046,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区名島一丁目１番24号,092-674-3090,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000047,4070803830,c000047,,ヒーリングステーション名島,facility-0047,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区名島一丁目５番１９号,092-663-5811,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000048,4070802360,c000048,,有限会社てるガイドサービス,facility-0048,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区名島二丁目21番１号,092-681-3055,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000049,4070804440,c000049,,ケアステーションにしこう東,facility-0049,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区奈多一丁目11番25号奈多パピヨン,092-605-6161,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000050,4070800406,c000050,,ヘルパーステーション海の中道,facility-0050,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区奈多一丁目２番２号,092-603-8510,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000051,4070801560,c000051,,ケアステーションにしこう博多,facility-0051,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区箱崎一丁目28番６号,092-643-8208,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000052,4070804663,c000052,,ヘルパーステーションきんしゃい,facility-0052,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区箱崎一丁目31番29号,092-409-2259,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000053,4070805850,c000053,,共生型　あい福祉サービス,facility-0053,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区箱崎三丁目21番４-102号,092-643-5577,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000054,4070803442,c000054,,ほがらか訪問介護ステーション,facility-0054,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区箱崎三丁目32番11号,092-645-0730,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000055,4071000592,c000055,,ケア・ワーカーズステーション福寿,facility-0055,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区箱崎四丁目37番９号,092-643-6670,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000056,4070802253,c000056,,ケアステーション向日葵,facility-0056,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区箱崎六丁目11番９号,092-641-8484,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000057,4070801032,c000057,,ヘルパーステーションほほえみ,facility-0057,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区筥松三丁目３番17号,092-621-8023,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
f000058,4070805744,c000058,,ケアステーション　まごころ,facility-0058,福岡市東区,訪問介護,🏠,emerald,住み慣れたご自宅での生活を支える訪問介護サービスです。,訪問介護|生活援助|身体介護,福岡市東区八田一丁目11番19-105号,070-3338-0897,,,福岡市東区,true,未接触,2026-05-07,2026-05-07
